"scenario","method","prior","alpha","threshold","n_sightings","final_probability","date_error","absolute_date_error","no_threshold_crossing"
"decreasing observation effort, matched expected sightings","Effort_fixed_alpha","uniform",1.8,0.5,7.66666666666667,0.0143762931360565,3.11111111111111,3.33333333333333,0
"decreasing observation effort, matched expected sightings","Effort_fixed_alpha","uniform",1.5,0.5,7.66666666666667,0.0360901731362529,3.77777777777778,3.77777777777778,0
"decreasing observation effort, matched expected sightings","Solow","later_beta_2_1",1,0.5,8.625,0.0756884913247944,1.9,4,0
"decreasing observation effort, matched expected sightings","Solow","uniform",1,0.6,8.625,0.0942918285310317,2.5,4.4,0
"decreasing observation effort, matched expected sightings","Effort_fixed_alpha","uniform",1.2,0.5,7.66666666666667,0.0854863253286242,4.88888888888889,4.88888888888889,0
"decreasing observation effort, matched expected sightings","Solow","later_beta_2_1",1,0.4,8.625,0.0756884913247944,3.425,5.075,0
"decreasing observation effort, matched expected sightings","Solow","uniform",1,0.5,8.625,0.0942918285310317,3.8,5.4,0
"decreasing observation effort, matched expected sightings","Effort_fixed_alpha","uniform",1,0.5,7.66666666666667,0.144482524827982,6.11111111111111,6.11111111111111,0
"decreasing observation effort, matched expected sightings","Solow","later_beta_2_1",1,0.3,8.625,0.0756884913247944,5.225,6.425,0
"decreasing observation effort, matched expected sightings","Solow","uniform",1,0.4,8.625,0.0942918285310317,5.325,6.475,0
"decreasing observation effort, matched expected sightings","Solow","earlier_beta_1_2",1,0.6,8.625,0.127949683299079,5.425,6.625,0
"decreasing observation effort, matched expected sightings","Effort_fixed_alpha","uniform",0.8,0.5,7.66666666666667,0.231005044190557,7.55555555555556,7.55555555555556,0
"decreasing observation effort, matched expected sightings","Solow","earlier_beta_1_2",1,0.5,8.625,0.127949683299079,6.6,7.6,0
"decreasing observation effort, matched expected sightings","Solow","uniform",1,0.3,8.625,0.0942918285310317,7.025,7.875,0
"decreasing observation effort, matched expected sightings","Solow","earlier_beta_1_2",1,0.4,8.69230769230769,0.120484033180062,7.66666666666667,8.43589743589744,0
"decreasing observation effort, matched expected sightings","Solow","earlier_beta_1_2",1,0.3,8.88571428571429,0.0969921120314247,8.42857142857143,9.05714285714286,0
"decreasing observation effort, matched expected sightings","Effort_fixed_alpha","uniform",0.6,0.5,7.66666666666667,0.344576392084334,10,10,0
"increasing observation effort","Effort_te_median","uniform",1.8,-1,8.51351351351351,-1,-0.432432432432432,0.756756756756757,0
"increasing observation effort","Solow_te_median","earlier_beta_1_2",1,-1,8.8,-1,-0.05,0.85,0
"increasing observation effort","Effort_te_median","uniform",1.5,-1,8.51351351351351,-1,-0.189189189189189,0.891891891891892,0
"increasing observation effort","Solow_te_median","uniform",1,-1,8.8,-1,0.5,1.1,0
"increasing observation effort","Effort_te_median","uniform",1,-1,8.51351351351351,-1,0.621621621621622,1.10810810810811,0
"increasing observation effort","Solow_te_median","later_beta_2_1",1,-1,8.8,-1,0.95,1.3,0
"increasing observation effort","Effort_te_median","uniform",0.6,-1,8.51351351351351,-1,2.02702702702703,2.08108108108108,0
"increasing observation effort","Solow","later_beta_2_1",1,0.6,8.8,0.112738839354918,3.225,3.225,0
"increasing observation effort","Effort_fixed_alpha","uniform",1.8,0.5,8.51351351351351,0.0324806482479928,4,4,0
