"experiment","scenario","replicate","method","true_year","n_sightings","last_sighting","final_probability","estimated_year","date_error","absolute_date_error","no_threshold_crossing"
"extinction","constant observation effort",31,"Solow",2005,2,1999,0.474999999934083,2019,14,14,FALSE
"extinction","constant observation effort",31,"Kodikara",2005,2,1999,0.24651429796626,2007,2,2,FALSE
"extinction","constant observation effort",31,"Effort_fixed_alpha",2005,2,1999,0.475,2018,13,13,FALSE
"extinction","constant observation effort",32,"Solow",2005,3,1995,0.24657534248521,2006,1,1,FALSE
"extinction","constant observation effort",32,"Kodikara",2005,3,1995,0.0909181059666155,2000,-5,5,FALSE
"extinction","constant observation effort",32,"Effort_fixed_alpha",2005,3,1995,0.246575342465753,2006,1,1,FALSE
"extinction","constant observation effort",33,"Solow",2005,2,1988,0.199999999850068,1997,-8,8,FALSE
"extinction","constant observation effort",33,"Kodikara",2005,2,1988,0.385401953549822,2000,-5,5,FALSE
"extinction","constant observation effort",33,"Effort_fixed_alpha",2005,2,1988,0.199999999999996,1996,-9,9,FALSE
"extinction","constant observation effort",34,"Solow",2005,2,2003,0.574999999209213,NA,NA,NA,TRUE
"extinction","constant observation effort",34,"Kodikara",2005,2,2003,0.50558896236415,NA,NA,NA,TRUE
"extinction","constant observation effort",34,"Effort_fixed_alpha",2005,2,2003,0.575,NA,NA,NA,TRUE
"extinction","constant observation effort",35,"Solow",2005,7,2004,0.226984950579949,2014,9,9,FALSE
"extinction","constant observation effort",35,"Kodikara",2005,7,2004,0.213811947451951,2013,8,8,FALSE
"extinction","constant observation effort",35,"Effort_fixed_alpha",2005,7,2004,0.226984950700571,2014,9,9,FALSE
"extinction","constant observation effort",36,"Solow",2005,6,1995,0.0360106698270354,2002,-3,3,FALSE
"extinction","constant observation effort",36,"Kodikara",2005,6,1995,0.0434461908158087,2001,-4,4,FALSE
"extinction","constant observation effort",36,"Effort_fixed_alpha",2005,6,1995,0.0360106698280972,2002,-3,3,FALSE
"extinction","constant observation effort",37,"Solow",2005,4,2002,0.374507597278777,2015,10,10,FALSE
"extinction","constant observation effort",37,"Kodikara",2005,4,2002,0.00970768557154366,2005,0,0,FALSE
"extinction","constant observation effort",37,"Effort_fixed_alpha",2005,4,2002,0.37450759707372,2015,10,10,FALSE
"extinction","constant observation effort",38,"Solow",2005,4,2002,0.374507597278777,2015,10,10,FALSE
"extinction","constant observation effort",38,"Kodikara",2005,4,2002,0.132818285083672,2009,4,4,FALSE
"extinction","constant observation effort",38,"Effort_fixed_alpha",2005,4,2002,0.37450759707372,2015,10,10,FALSE
"extinction","constant observation effort",39,"Solow",2005,4,2002,0.374507597278777,2015,10,10,FALSE
"extinction","constant observation effort",39,"Kodikara",2005,4,2002,NA,NA,NA,NA,TRUE
"extinction","constant observation effort",39,"Effort_fixed_alpha",2005,4,2002,NA,NA,NA,NA,TRUE
"extinction","constant observation effort",40,"Solow",2005,4,2002,0.374507597278777,2015,10,10,FALSE
"extinction","constant observation effort",40,"Kodikara",2005,4,2002,0.481354707037818,2019,14,14,FALSE
"extinction","constant observation effort",40,"Effort_fixed_alpha",2005,4,2002,0.37450759707372,2015,10,10,FALSE
"extinction","constant observation effort",41,"Solow",2005,3,2001,0.432141107079679,2017,12,12,FALSE
"extinction","constant observation effort",41,"Kodikara",2005,3,2001,NA,NA,NA,NA,TRUE
"extinction","constant observation effort",41,"Effort_fixed_alpha",2005,3,2001,NA,NA,NA,NA,TRUE
"extinction","constant observation effort",42,"Solow",2005,3,2003,0.496946923322228,2020,15,15,FALSE
"extinction","constant observation effort",42,"Kodikara",2005,3,2003,0.371846145102135,2015,10,10,FALSE
"extinction","constant observation effort",42,"Effort_fixed_alpha",2005,3,2003,0.496946923438234,2020,15,15,FALSE
"extinction","constant observation effort",43,"Solow",2005,5,2000,0.210526315655962,2010,5,5,FALSE
"extinction","constant observation effort",43,"Kodikara",2005,5,2000,NA,NA,NA,NA,TRUE
"extinction","constant observation effort",43,"Effort_fixed_alpha",2005,5,2000,NA,NA,NA,NA,TRUE
"extinction","constant observation effort",44,"Solow",2005,3,2004,0.529411764584833,NA,NA,NA,TRUE
"extinction","constant observation effort",44,"Kodikara",2005,3,2004,0.39350656668846,2016,11,11,FALSE
"extinction","constant observation effort",44,"Effort_fixed_alpha",2005,3,2004,0.529411764705882,NA,NA,NA,TRUE
"extinction","constant observation effort",45,"Solow",2005,2,1988,0.199999999850068,1997,-8,8,FALSE
"extinction","constant observation effort",45,"Kodikara",2005,2,1988,0.210428947809779,1993,-12,12,FALSE
"extinction","constant observation effort",45,"Effort_fixed_alpha",2005,2,1988,0.199999999999996,1996,-9,9,FALSE
"extinction","constant observation effort",46,"Solow",2005,4,2004,0.452513966691796,2019,14,14,FALSE
"extinction","constant observation effort",46,"Kodikara",2005,4,2004,0.44073399509522,2018,13,13,FALSE
"extinction","constant observation effort",46,"Effort_fixed_alpha",2005,4,2004,0.452513966480447,2019,14,14,FALSE
"extinction","constant observation effort",47,"Solow",2005,4,2004,0.452513966691796,2019,14,14,FALSE
"extinction","constant observation effort",47,"Kodikara",2005,4,2004,0.352730431628374,2015,10,10,FALSE
"extinction","constant observation effort",47,"Effort_fixed_alpha",2005,4,2004,0.452513966480447,2019,14,14,FALSE
"extinction","constant observation effort",48,"Solow",2005,3,2002,0.464491362681942,2019,14,14,FALSE
"extinction","constant observation effort",48,"Kodikara",2005,3,2002,0.555807070084954,NA,NA,NA,TRUE
"extinction","constant observation effort",48,"Effort_fixed_alpha",2005,3,2002,0.464491362763916,2019,14,14,FALSE
"extinction","constant observation effort",49,"Solow",2005,7,2002,0.14589193291822,2011,6,6,FALSE
"extinction","constant observation effort",49,"Kodikara",2005,7,2002,NA,NA,NA,NA,TRUE
"extinction","constant observation effort",49,"Effort_fixed_alpha",2005,7,2002,NA,NA,NA,NA,TRUE
"extinction","constant observation effort",50,"Solow",2005,3,2000,0.399999999928732,2015,10,10,FALSE
"extinction","constant observation effort",50,"Kodikara",2005,3,2000,0.494742424571048,2020,15,15,FALSE
"extinction","constant observation effort",50,"Effort_fixed_alpha",2005,3,2000,0.4,2015,10,10,FALSE
"extinction","constant observation effort",51,"Solow",2005,3,2001,0.432141107079679,2017,12,12,FALSE
"extinction","constant observation effort",51,"Kodikara",2005,3,2001,0.513907916056905,NA,NA,NA,TRUE
"extinction","constant observation effort",51,"Effort_fixed_alpha",2005,3,2001,0.432141107300343,2017,12,12,FALSE
"extinction","constant observation effort",52,"Solow",2005,4,2000,0.30000000016619,2012,7,7,FALSE
"extinction","constant observation effort",52,"Kodikara",2005,4,2000,0.433073888382342,2016,11,11,FALSE
"extinction","constant observation effort",52,"Effort_fixed_alpha",2005,4,2000,0.3,2012,7,7,FALSE
